Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Unknown,Driver or rider,18-30,Overtaking,Slight Injury
18-30,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Over 51,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Under 18,No distancing,Slight Injury
Under 18,Owner,5-10yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,1,1,Stopping,Driver or rider,18-30,Other,Slight Injury
18-30,Employee,2-5yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Employee,5-10yr,,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Overtaking,Driver or rider,18-30,Changing lane to the right,Slight Injury
31-50,Employee,Below 1yr,Other,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Over 51,Overtaking,Slight Injury
18-30,Employee,1-2yr,Office areas,,No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,1,Reversing,na,na,Other,Slight Injury
18-30,Employee,2-5yr,School areas,Double carriageway (median),No junction,Earth roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Driving to the left,Slight Injury
Unknown,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Over 51,Overtaking,Slight Injury
31-50,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Unknown,Driver or rider,Over 51,No priority to vehicle,Slight Injury
31-50,Employee,5-10yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,Moving Backward,Slight Injury
Under 18,Unknown,,Office areas,,Y Shape,Asphalt roads,Darkness - lights lit,Raining,With Train,2,1,Moving Backward,Driver or rider,Over 51,Other,Slight Injury
Under 18,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury
Under 18,Employee,Above 10yr,Residential areas,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,18-30,No priority to pedestrian,Slight Injury
31-50,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,18-30,Changing lane to the right,Slight Injury
Over 51,Employee,unknown,Office areas,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
31-50,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,Changing lane to the right,Slight Injury
31-50,Employee,2-5yr, Church areas,,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Under 18,Driving to the left,Slight Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Under 18,Moving Backward,Slight Injury
Over 51,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,na,na,Driving at high speed,Slight Injury
18-30,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,2-5yr,Residential areas,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,18-30,Other,Slight Injury
Over 51,Owner,Above 10yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,18-30,No priority to vehicle,Slight Injury
Over 51,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,na,na,Changing lane to the right,Slight Injury
18-30,Employee,Above 10yr,  Recreational areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Other,Slight Injury
31-50,Unknown,,,,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,18-30,No distancing,Slight Injury
Over 51,Owner,5-10yr, Industrial areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
18-30,Employee,5-10yr,Other,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,Moving Backward,Slight Injury
18-30,Employee,Above 10yr, Church areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,1-2yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Under 18,Moving Backward,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,No priority to pedestrian,Slight Injury
31-50,Employee,Below 1yr,Other,One way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Passenger,18-30,Changing lane to the left,Slight Injury
31-50,Employee,Above 10yr,  Recreational areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,1-2yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,2,3,Going straight,na,na,Other,Slight Injury
18-30,Employee,5-10yr,Office areas,Undivided Two way,Y Shape,Other,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Driver or rider,Under 18,No distancing,Slight Injury
18-30,Employee,5-10yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,No priority to pedestrian,Slight Injury
Unknown,Owner,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,3,1,Going straight,na,na,Moving Backward,Slight Injury
31-50,Unknown,,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,No priority to pedestrian,Slight Injury
Over 51,Employee,Above 10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,No distancing,Slight Injury
31-50,Unknown,,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,18-30,No priority to pedestrian,Serious Injury
18-30,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Serious Injury
18-30,Owner,2-5yr,Residential areas,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Getting off the vehicle improperly,Serious Injury
18-30,Employee,unknown,Residential areas,Two-way (divided with broken lines road marking),No junction,Other,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,3,Going straight,Passenger,18-30,Driving carelessly,Slight Injury
18-30,Employee,Above 10yr,Other,Double carriageway (median),No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,3,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Owner,2-5yr, Hospital areas,One way,No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
Over 51,Employee,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,Other,Undivided Two way,O Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Under 18,Changing lane to the right,Serious Injury
18-30,Employee,1-2yr,  Recreational areas,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,No distancing,Slight Injury
Unknown,Employee,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,No distancing,Slight Injury
Over 51,Employee,2-5yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the left,Slight Injury
Unknown,Employee,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Passenger,18-30,No priority to vehicle,Slight Injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Crossing,Other,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Reversing,Pedestrian,Under 18,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Collision with pedestrians,2,1,Going straight,Pedestrian,Over 51,No priority to vehicle,Slight Injury
18-30,Employee,2-5yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Under 18,Moving Backward,Slight Injury
31-50,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Turnover,Serious Injury
18-30,Employee,1-2yr, Church areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Pedestrian,Under 18,No distancing,Serious Injury
18-30,Owner,2-5yr,Office areas,Undivided Two way,No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
Over 51,Owner,2-5yr,School areas,other,No junction,,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,No distancing,Slight Injury
31-50,Employee,,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,31-50,Changing lane to the left,Slight Injury
31-50,Owner,1-2yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,No priority to vehicle,Slight Injury
Unknown,Unknown,Below 1yr,Residential areas,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,31-50,Driving at high speed,Slight Injury
Over 51,Employee,1-2yr, Industrial areas,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,Overtaking,Slight Injury
18-30,Employee,1-2yr,Other,Undivided Two way,Y Shape,Earth roads,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Unknown,Driver or rider,18-30,Other,Slight Injury
31-50,Employee,Above 10yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Moving Backward,Passenger,18-30,Changing lane to the left,Slight Injury
18-30,Employee,1-2yr,  Recreational areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,31-50,No priority to pedestrian,Slight Injury
31-50,Employee,2-5yr,Office areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,31-50,Changing lane to the left,Slight Injury
31-50,Other,2-5yr, Outside rural areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Turnover,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr, Outside rural areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,Passenger,Over 51,Moving Backward,Slight Injury
Over 51,Employee,5-10yr, Outside rural areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,18-30,Changing lane to the left,Serious Injury
18-30,Employee,1-2yr, Outside rural areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Reversing,Driver or rider,18-30,Other,Serious Injury
18-30,Employee,5-10yr, Outside rural areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Moving Backward,na,na,No distancing,Serious Injury
18-30,Employee,2-5yr,School areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,31-50,Moving Backward,Serious Injury
